,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
81,,,0,1,74,42,1.0,0.2,a,1,0.2,Travers,90,0,0,0,3,0,0,0,0,0,2,0,9,15.2,0.0,0.0,1.5
82,100.0,100.0,0,3,75,68,2.6,2.6,a,73,10.7,Fraser,2061,1,5,4,34,0,0,0,2,0,0,2,305,355.6,627.1,440.0,141.9
83,100.0,75.0,0,3,76,62,0.0,0.1,a,0,0.0,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
84,100.0,100.0,0,3,77,59,1.3,0.0,a,8,1.4,Stanislas,221,0,0,0,7,0,0,0,0,0,0,0,31,24.6,37.7,52.0,11.5
85,100.0,100.0,0,3,78,46,1.0,0.1,a,2,0.4,Ibe,48,0,0,0,1,0,0,0,0,0,0,0,10,6.8,5.4,0.0,1.2
86,100.0,100.0,0,3,79,50,1.6,0.0,a,32,6.4,Lewis Cook,1000,0,1,2,19,0,0,0,3,0,0,0,147,150.4,124.6,44.0,31.8
87,100.0,100.0,0,3,80,47,1.2,0.0,a,6,1.3,Surman,234,0,0,0,6,0,0,0,1,0,0,0,28,23.6,25.5,8.0,5.6
88,100.0,100.0,0,3,81,49,2.4,0.1,a,39,8.0,Gosling,878,2,1,1,16,0,0,0,1,0,0,1,127,226.2,71.8,182.0,47.8
89,100.0,100.0,0,3,82,48,2.0,0.1,a,48,10.0,Lerma,1942,1,2,3,33,0,0,0,9,1,0,2,282,341.2,140.1,81.0,55.9
90,100.0,100.0,0,2,446,43,2.5,0.1,a,30,7.0,Stacey,1066,0,2,1,19,0,0,0,2,0,0,4,185,256.6,112.9,74.0,44.4
91,75.0,100.0,1,3,476,50,2.2,0.2,d,60,12.0,Billing,2162,1,1,5,36,0,0,0,7,0,0,5,314,503.8,203.8,291.0,100.0
92,100.0,75.0,0,3,492,58,2.0,0.0,a,18,3.1,Danjuma,405,0,1,2,6,0,0,0,0,0,0,0,55,45.4,39.8,120.0,20.5
93,100.0,100.0,3,1,494,45,3.4,3.5,a,96,21.3,Ramsdale,2520,0,1,4,44,0,0,0,0,0,102,10,520,759.0,10.0,0.0,76.9
94,100.0,100.0,2,3,505,58,3.7,1.8,a,84,14.5,Harry Wilson,1432,7,1,2,28,0,0,0,1,0,0,7,280,360.2,228.4,543.0,113.1
95,,,0,3,564,45,0.0,0.0,a,0,0.0,Saydee,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
96,,,0,3,565,45,0.0,0.0,a,0,0.0,Kilkenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
97,0.0,0.0,0,3,574,44,0.0,0.0,n,0,0.0,Dobre,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
98,100.0,100.0,0,2,37,48,2.4,0.9,a,36,7.5,Duffy,1071,1,0,2,15,0,0,0,1,0,0,1,187,254.0,29.4,96.0,37.9
99,100.0,100.0,1,2,38,43,2.6,0.6,a,60,14.0,Montoya,1703,0,1,6,25,0,0,0,5,0,0,3,293,317.6,335.0,173.0,82.8
100,100.0,100.0,0,2,39,43,1.8,0.1,a,18,4.2,Bernardo,541,0,0,1,12,0,0,0,1,0,0,3,102,122.6,58.6,82.0,26.4
101,0.0,0.0,0,2,40,43,0.0,0.1,n,0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
102,0.0,0.0,0,2,41,42,0.8,0.1,u,3,0.7,Bong,57,0,0,0,3,0,0,0,0,0,0,0,15,16.0,27.9,6.0,5.0
